CALM1,CAMK2G
TRPC1,ITPR1
TRPC1,ITPR2
TRPC1,ITPR3
PIK3R1,PIK3CA
PIK3R1,HRAS
PIK3R1,SRC
PIK3R1,JAK2
PIK3R1,PIK3CD
PIK3R1,PIK3CG
PIK3R1,AKT1
PIK3R1,AKT2
PIK3R1,FYN
PIK3R1,AKT3
PIK3R1,PIK3CB
HTR2C,GNAQ
PLCB3,GNAQ
PLCB3,GNA11
PLCB3,ITPR1
PLCB3,ITPR2
PLCB3,ITPR3
GRIN2B,FYN
GRIN2B,CAMK2G
GRIN2B,CAMK2B
GRIN2B,CAMK2D
GRIN2B,DLG4
GRIN2B,CAMK2A
GRIN2B,GRIN1
CAMK4,CREB1
CAMK4,CALM2
GRIA4,PRKCG
GRIA4,CAMK2G
GRIA4,GRIA2
GRIA4,DLG4
GRM1,HOMER3
GRM1,SHANK1
GRM1,HOMER1
GRM1,DLG4
GRM1,DLGAP1
GRM1,HOMER2
GRM1,GRK2
APP,MAPK10
APP,MAPK8
GRIA1,DLG4
GRIA1,CAMK2G
GRIA1,CAMK2D
GRIA1,CAMK2A
ADCY8,GNAO1
ADCY8,CALM2
ADCY8,CAMK2G
ADCY8,GRM3
ADCY8,PRKACB
ADCY8,PRKACA
ADCY8,PRKCA
ADCY8,PRKACG
GNAQ,PIK3CA
GNAQ,PLCB2
GNAQ,GNG2
GNAQ,HTR2B
GNAQ,CHRM3
GNAQ,PLCB4
GNAQ,PRKCA
GNAQ,GRK2
GNAQ,GNB3
GNAQ,HTR2A
GNAQ,PLCB1
GNAQ,GNB2
GNAQ,GNB4
GNAQ,GNB1
GNAQ,HTR2C
GNAQ,GNAS
GNAQ,PLCB3
CACNA1D,CACNA1C
CACNA1D,CACNA1F
KCNJ6,GNG2
KCNJ6,GNB1
KCNJ6,GABBR1
BRAF,ARAF
BRAF,NRAS
BRAF,HRAS
BRAF,MAP2K1
BRAF,MAPK3
BRAF,MAPK1
BRAF,KRAS
BRAF,PRKCA
PIK3CB,AKT1
PIK3CB,PIK3R1
PIK3CB,PIK3R2
PIK3CB,NRAS
PIK3CB,AKT2
PIK3CB,HRAS
PIK3CB,GSK3B
PIK3CB,FYN
PIK3CB,AKT3
PIK3CB,PIK3R3
PIK3CB,JAK2
PIK3CB,KRAS
PIK3CB,SRC
PIK3CB,PIK3R5
CALM3,PPP3CC
CALM3,CAMK2G
CALM3,CAMK2B
CALM3,PPP3CA
CALM3,KCNQ1
CALM3,PPP3CB
CALM3,CAMK2A
GRIN2C,CAMK2G
GRIN2C,DLG4
GRIN2C,GRIN1
SHANK1,DLGAP1
SHANK1,HOMER3
SHANK1,DLG4
SHANK1,HOMER2
SHANK1,GRM1
SHANK1,HOMER1
SHANK1,GRM5
ALOX15,PTGS2
DLG4,GRIK5
DLG4,CAMK2D
DLG4,GRIN2D
DLG4,GRIA1
DLG4,GRIN1
DLG4,GRIN2B
DLG4,GRIN2C
DLG4,GRIA4
DLG4,GRIN2A
DLG4,CALM1
DLG4,HOMER1
DLG4,CAMK2G
DLG4,DLGAP1
DLG4,GRIA2
DLG4,SHANK1
DLG4,GRM5
DLG4,GRIK2
DLG4,SHANK2
DLG4,GRIA3
DLG4,GRM1
DLG4,CAMK2A
DLG4,GRIK1
DLG4,SHANK3
DLG4,CAMK2B
ADCY9,PRKACB
ADCY9,PRKACA
ADCY9,GNAS
GNG3,GNAI3
GNG3,GNAO1
GNG3,GNB3
GNG3,GNG13
GNG3,GNB2
GNG3,GNB1
GNG3,GNB5
GNG3,GNB4
GNG3,GNA11
KCNJ3,GNB1
KCNJ3,GNG2
PPP1CB,PPP1CA
PPP1CB,PPP1CC
ADCY1,GNAI2
ADCY1,PRKACB
ADCY1,GNAS
ADCY1,GNAI3
ADCY1,PRKACG
GNGT2,GNA11
GNGT2,GNG13
GNGT2,GNG4
GNGT2,GNAO1
GNGT2,GNB3
GNGT2,GNB4
GNGT2,GNB2
GNGT2,GNB1
GNGT2,PLCB2
GNG8,GNB4
GNG8,GNB2
GNG8,GNB3
GNG8,GNB1
MAP2K1,ARAF
MAP2K1,SRC
MAP2K1,PIK3CA
MAP2K1,HRAS
MAP2K1,KRAS
MAP2K1,MAPK3
MAP2K1,BRAF
MAP2K1,RAF1
MAP2K1,MAPK1
MAP2K1,NRAS
MAP2K1,MAPK14
SCN1A,CALM1
GNB2,GNA11
GNB2,MAPK14
GNB2,GNG12
GNB2,GNG11
GNB2,GNG8
GNB2,GNAI3
GNB2,GNAI1
GNB2,GNGT2
GNB2,GNAI2
GNB2,GNAQ
GNB2,GNG13
GNB2,GNGT1
GNB2,GNAO1
GNB2,GRK2
GNB2,GNG5
GNB2,GNG4
GNB2,GNG10
GNB2,GNG3
GNB2,GNG7
GNB2,GNG2
HOMER2,SHANK1
